# HSK 6 - Proficient
# Written register: 倘若, 以至于, 何尝, 未尝不是, 于…而言, 与其说…不如说, 亦,
# 均, 自…至今, 待, 直至…为止, 以…为, 不禁, 所谓, 鲜有, 此番, 半晌, chengyu.

=== s21
level: 6
tag: A dying trade
zh: 修表的人
en: The Watchmaker
text:
在 老城区 一 条 狭窄 的 巷子 深处 ， 有 一 间 不足 十 平方米 的 修表 铺 。 店主 姓 周 ， 年逾古稀 ， 自 十六 岁 拜师 学艺 至今 ， 已 与 钟表 打 了 半 个 多 世纪 的 交道 。

铺子 里 陈设 极为 简陋 ： 一 张 旧 木桌 ， 一 盏 台灯 ， 一 排 大小 不一 的 镊子 和 螺丝刀 。 周 师傅 修 表 时 ， 总 要 戴上 一 只@mw 放大镜 ， 屏住 呼吸 ， 仿佛 整个 世界 都 缩小 到 了 那 方寸 之间 。 倘若 有人 在 此时 跟 他 说话 ， 他 往往 充耳不闻 。

近 些 年 来@over ， 随着 智能手机 的@poss 普及 ， 戴 手表 的 人 日益 减少 ， 前来 修 表 的 顾客 更是 寥寥无几 。 附近 的 店铺 纷纷 改行 ， 有人 劝 他 不妨 也 转 做 手机 维修 ， 以 维持 生计 。 他 却 只是 笑笑 ： “ 手艺 这 东西 ， 一旦 丢 了 ， 就 再也 捡 不 回来 了@change 。 ”

去年 冬天 ， 一 位 年轻人 拿 着 一 块 停摆 多年 的 怀表 找 上门 来 。 那 是 他 祖父 的@poss 遗物 ， 辗转 问 了 好 几 家 店 ， 均 被 告知 零件 早已 停产 ， 无法 修复 。 周 师傅 端详 良久 ， 未置可否 ， 只 让 他 一 个 月 后 再 来 。

此后 的 一 个 月 里 ， 他 几乎 每晚 都 在 灯 下 忙 到 深夜 ， 缺 的 零件 便 亲手 一点点 打磨 出来 。 当 年轻人 再次 推开 那 扇 木门 时 ， 怀表 的@poss 秒针 正 不紧不慢 地 走 着 。 年轻人 眼眶 泛红 ， 执意 要@want 多@extra 付 钱 ， 周 师傅 却 摆摆 手 ， 说 能 听到 老 物件 重新 “ 活 ” 过来 的 声音 ， 于 他 而言 ， 便 是 最 好@good 的 酬劳 。
words:
在 | zài | in; at; under
无效 | wú xiào | unsuccessful
离世 | lí shì | to pass away
料理 | liào lǐ | to take care of
后事 | hòu shì | funeral arrangements
书桌 | shū zhuō | desk
抽屉 | chōu ti | drawer
叠 | dié | pile; stack
信纸 | xìn zhǐ | letter paper
封 | fēng | (measure word for letters)
没 | méi | not; did not
完 | wán | finished
信 | xìn | letter
开头 | kāi tóu | beginning
着 | zhe | (ongoing: …ing / is …ed)
小名 | xiǎo míng | childhood name
字迹 | zì jì | handwriting
一笔一画 | yī bǐ yī huà | stroke by stroke
看 | kàn | to see
得 | de | (links a verb to how it was done)
得@can | de | (看得出 = can tell)
出 | chū | out (看得出 = can tell)
极 | jí | extremely
几 | jǐ | a few
处 | chù | place(s)
还 | hái | also; even
被 | bèi | (passive: to be …ed)
反复 | fǎn fù | over and over
涂改 | tú gǎi | to cross out and rewrite
中 | zhōng | in
为 | wèi | for (为…而道歉 = to apologize for)
为@wei2 | wéi | (以…为 = to regard … as)
去 | qù | to go
参加 | cān jiā | to attend
典礼 | diǎn lǐ | ceremony
而 | ér | (为…而道歉: to apologize for)
道歉 | dào qiàn | to apologize
天 | tiān | day
好 | hǎo | (after a verb) done; already
车票 | chē piào | (train) ticket
却 | què | but
因 | yīn | because of
厂 | chǎng | factory
临时 | lín shí | at short notice
加班 | jiā bān | to work overtime
未能 | wèi néng | to be unable to
成行 | chéng xíng | to make the trip
写道 | xiě dào | to write (that)
离家 | lí jiā | to leave home
都 | dōu | always; all along
会 | huì | would (always); will
阳台 | yáng tái | balcony
目送 | mù sòng | to watch (someone) go
走 | zǒu | to walk
到 | dào | to
巷子 | xiàng zi | lane
口 | kǒu | entrance (巷子口 = end of the lane)
直至 | zhí zhì | until
见 | jiàn | (看不见 = can't see)
为止 | wéi zhǐ | (直至…为止 = until)
最后 | zuì hòu | last
行 | háng | line (of writing)
一直 | yī zhí | always; all along
以 | yǐ | (以…为 = to regard … as)
捧 | pěng | to hold (in both hands)
纸 | zhǐ | sheets (of paper)
书房 | shū fáng | study
坐 | zuò | to sit
整整 | zhěng zhěng | a whole
夜 | yè | night
那些 | nà xiē | those
存在 | cún zài | to exist
关心 | guān xīn | care; concern
笨拙 | bèn zhuō | clumsy
起来 | qi lai | (after a verb) away (藏起来 = hidden away)
倘若 | tǎng ruò | if
当初 | dāng chū | back then
多 | duō | more
耐心 | nài xīn | patience
至于 | zhì yú | (不至于 = wouldn't have come to)
留下 | liú xià | to be left with
这般 | zhè bān | such
遗憾 | yí hàn | regret
周 | zhōu | week
给 | gěi | to (someone)
母亲 | mǔ qīn | mother
打 | dǎ | to make (a phone call)
之前 | zhī qián | before
总 | zǒng | always
忘 | wàng | to forget
妈 | mā | mum
